Track_Name,Artist,X,Y,Z,Acousticness,Energy,Valence
Segura,Amplexos;Digitaldubs;Leão Etíope do Méier;Lenine,-1.2524288824422196,0.8803855022456839,1.5244199216089942,0.0184,0.533,0.365
KICK BACK,Kenshi Yonezu,1.2372501886485638,-0.38816570407921747,0.4098847364793506,0.00207,0.941,0.292
ピースサイン,Kenshi Yonezu,2.1935258793349384,0.031239311541280457,0.44196374264893445,0.00221,0.935,0.618
One Last Kiss,Hikaru Utada,-2.173282743482379,0.6744980714068637,0.3673010697949637,0.692,0.54,0.354
Lemon,Kenshi Yonezu,-0.053069568375232745,0.3561879025895836,0.8635284711004573,0.304,0.646,0.373
Lemon,Kenshi Yonezu,0.09857446196244077,0.40811186880942224,0.874456687275078,0.366,0.661,0.446
Flamingo,Kenshi Yonezu,1.4545367186119227,1.685618849960656,-0.35008782254257825,0.165,0.668,0.913
死神,Kenshi Yonezu,1.6976448556652841,1.8633990566960075,-0.40687073702802545,0.0349,0.653,0.939
LOSER,Kenshi Yonezu,2.678761880897122,0.9661617195132355,-0.6569270458372938,0.00466,0.931,0.962
First Love,Hikaru Utada,-1.879691674280984,-1.4981771251346132,-1.0569114922645564,0.122,0.434,0.195
灰色と青 ( + 菅田将暉 ),Kenshi Yonezu;Masaki Suda,-0.37094176628455333,0.7704766133293615,0.691158241202016,0.345,0.597,0.387
orion,Kenshi Yonezu,0.7698166385943195,1.068848459319589,0.31072893643960875,0.103,0.614,0.507
感電,Kenshi Yonezu,1.379073469852702,0.37895691524063047,0.0618971558407195,0.107,0.723,0.688
One Last Kiss,Hikaru Utada,-1.9897347593775447,0.7460301212194114,0.30395846832682405,0.698,0.542,0.397
馬と鹿,Kenshi Yonezu,0.3035745924630199,1.3915134963642661,0.6472223292471417,0.0978,0.447,0.676
アイネクライネ,Kenshi Yonezu,1.9305975505592392,-1.2448717207288786,-1.513893995197076,0.0384,0.868,0.811
M八七,Kenshi Yonezu,-0.27103715103792275,0.22270828903665463,0.6235368916876759,0.3,0.719,0.334
無條件,Eason Chan,-2.6128500924321005,1.120527564330051,-0.22190323929476588,0.825,0.37,0.465
富士山下,Eason Chan,-1.8575716754535776,0.4792732916548611,0.6284363205664282,0.499,0.44,0.528
十年,Eason Chan,-2.6433151248118136,0.5389755417073016,0.0018133999389598847,0.865,0.468,0.203
孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Eason Chan,-1.4770492840523997,0.4320327321146577,-0.3153151557984683,0.63,0.535,0.293
單車,Eason Chan,-2.8392503484832172,0.9166346171785816,-0.14404557781571076,0.754,0.35,0.307
好久不見,Eason Chan,-4.805925795779985,-0.4865942297266874,0.8005423939758752,0.772,0.242,0.113
最佳損友,Eason Chan,-1.9420248902749637,0.22074992579596384,-0.5841922207273259,0.81,0.542,0.324
愛情轉移(國),Eason Chan,-1.7622055067147209,-0.07204472419607884,0.8243095877372587,0.709,0.481,0.357
淘汰,Eason Chan,-0.6431940655049662,-0.4068553946131126,0.3425298904304271,0.192,0.551,0.206
葡萄成熟時,Eason Chan,-1.1367891564599928,-0.24161851577438972,-0.02091182638045953,0.417,0.567,0.223
陀飛輪,Eason Chan,-2.9364623122194384,0.4750075390841402,-0.40546749655172154,0.936,0.309,0.376
浮誇,Eason Chan,-1.3847482242485443,-2.066399754734034,-1.765151901446876,0.229,0.562,0.243
我們 - 《後來的我們》電影主題曲,Eason Chan,-5.499217463266511,-0.3780424393822968,-0.14452763621201853,0.956,0.0962,0.201
苦瓜,Eason Chan,-2.599003862106992,-1.3346900220883753,-1.502202928863182,0.646,0.427,0.459
任我行,Eason Chan,-3.185679740088027,0.027818735364911213,-0.07356716976132828,0.766,0.375,0.464
明年今日,Eason Chan,-2.6802262668316432,0.8732061941914667,0.14592146394160563,0.71,0.397,0.214
K歌之王,Eason Chan,-2.9252894333106663,-0.027443449752336622,1.4270099108253795,0.754,0.349,0.271
Shall We Talk,Eason Chan,-3.410707697740335,-1.039857715933237,-1.1656835261437832,0.816,0.309,0.496
是但求其愛,Eason Chan,-3.891512911812384,-1.74253740250039,-1.029858438603483,0.94,0.272,0.253
歲月如歌,Eason Chan,-1.8753120927844504,0.5398508025024268,-0.7018539899915869,0.834,0.427,0.453
