Track_Name,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Segura,Amplexos;Digitaldubs;Leão Etíope do Méier;Lenine,0.538,0.533,0,-12.113,1,0.0518,0.0184,0.0133,0.109,0.365,74.973
KICK BACK,Kenshi Yonezu,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921
ピースサイン,Kenshi Yonezu,0.593,0.935,10,-3.853,0,0.0684,0.00221,0.0,0.315,0.618,100.003
One Last Kiss,Hikaru Utada,0.592,0.54,8,-11.249,0,0.0587,0.692,0.00187,0.0965,0.354,111.955
Lemon,Kenshi Yonezu,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957
Lemon,Kenshi Yonezu,0.532,0.661,11,-4.924,1,0.0268,0.366,0.0,0.354,0.446,86.983
Flamingo,Kenshi Yonezu,0.76,0.668,7,-6.0,1,0.0546,0.165,0.0,0.0917,0.913,114.075
死神,Kenshi Yonezu,0.807,0.653,2,-6.308,1,0.0443,0.0349,9.08e-06,0.111,0.939,119.019
LOSER,Kenshi Yonezu,0.679,0.931,1,-3.74,0,0.0474,0.00466,0.0,0.0652,0.962,121.001
First Love,Hikaru Utada,0.438,0.434,7,-8.37,1,0.0371,0.122,0.0,0.15,0.195,179.913
灰色と青 ( + 菅田将暉 ),Kenshi Yonezu;Masaki Suda,0.522,0.597,4,-4.883,1,0.0295,0.345,0.0,0.103,0.387,80.952
orion,Kenshi Yonezu,0.702,0.614,8,-4.93,1,0.028,0.103,0.0,0.231,0.507,104.022
感電,Kenshi Yonezu,0.633,0.723,8,-5.733,0,0.143,0.107,0.0,0.0818,0.688,103.101
One Last Kiss,Hikaru Utada,0.597,0.542,8,-10.703,0,0.0563,0.698,0.00264,0.0986,0.397,111.985
馬と鹿,Kenshi Yonezu,0.643,0.447,3,-6.411,1,0.0256,0.0978,0.0,0.286,0.676,91.019
アイネクライネ,Kenshi Yonezu,0.471,0.868,1,-2.291,1,0.0295,0.0384,0.0,0.297,0.811,173.969
M八七,Kenshi Yonezu,0.633,0.719,1,-8.329,1,0.0418,0.3,2.23e-05,0.34,0.334,112.013
無條件,Eason Chan,0.646,0.37,0,-10.98,1,0.0351,0.825,5.17e-06,0.09,0.465,129.914
富士山下,Eason Chan,0.475,0.44,5,-10.48,1,0.0354,0.499,0.0,0.25,0.528,103.371
十年,Eason Chan,0.6,0.468,8,-9.126,1,0.0335,0.865,3.13e-06,0.104,0.203,123.987
孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Eason Chan,0.615,0.535,8,-6.847,0,0.032,0.63,0.0,0.0907,0.293,130.025
單車,Eason Chan,0.635,0.35,7,-10.591,1,0.0284,0.754,0.0,0.0743,0.307,130.067
好久不見,Eason Chan,0.312,0.242,0,-14.149,1,0.0327,0.772,0.00454,0.184,0.113,114.469
最佳損友,Eason Chan,0.605,0.542,4,-7.961,1,0.0339,0.81,7.92e-05,0.116,0.324,144.154
愛情轉移(國),Eason Chan,0.479,0.481,5,-8.072,1,0.0309,0.709,0.0,0.48,0.357,105.255
淘汰,Eason Chan,0.512,0.551,9,-5.483,1,0.0295,0.192,0.0,0.302,0.206,117.978
葡萄成熟時,Eason Chan,0.521,0.567,10,-5.97,1,0.0307,0.417,0.0,0.183,0.223,125.194
陀飛輪,Eason Chan,0.544,0.309,0,-8.7,1,0.0349,0.936,0.0,0.115,0.376,134.277
浮誇,Eason Chan,0.405,0.562,4,-6.222,0,0.0373,0.229,0.0,0.122,0.243,201.02
我們 - 《後來的我們》電影主題曲,Eason Chan,0.355,0.0962,9,-14.729,1,0.0395,0.956,1.76e-05,0.0866,0.201,144.58
苦瓜,Eason Chan,0.379,0.427,2,-9.284,1,0.048,0.646,0.0,0.109,0.459,185.952
任我行,Eason Chan,0.417,0.375,5,-11.861,1,0.0344,0.766,2.41e-05,0.133,0.464,130.416
明年今日,Eason Chan,0.67,0.397,8,-10.87,1,0.0417,0.71,0.0,0.11,0.214,123.969
K歌之王,Eason Chan,0.346,0.349,2,-9.428,1,0.0355,0.754,1.46e-06,0.381,0.271,78.634
Shall We Talk,Eason Chan,0.329,0.309,0,-10.255,1,0.0355,0.816,0.0,0.141,0.496,172.599
是但求其愛,Eason Chan,0.326,0.272,6,-9.536,1,0.0434,0.94,0.00337,0.301,0.253,181.863
歲月如歌,Eason Chan,0.592,0.427,3,-6.759,1,0.0281,0.834,2.98e-06,0.106,0.453,139.908
慢慢喜歡你 - Live at EasON AIR,Eason Chan,0.568,0.321,10,-12.932,1,0.0365,0.846,2.41e-06,0.0851,0.302,130.151
人來人往,Eason Chan,0.542,0.26,7,-12.104,1,0.0347,0.759,3.98e-05,0.27,0.27,74.842
紅玫瑰(國),Eason Chan,0.425,0.583,9,-6.971,0,0.04,0.744,0.000689,0.116,0.345,128.05
落花流水,Eason Chan,0.582,0.548,1,-7.632,1,0.0401,0.424,0.0,0.129,0.274,148.001
我們萬歲,Eason Chan;eason and the duo band,0.562,0.494,1,-7.29,0,0.0289,0.318,0.0,0.0961,0.556,76.058
一絲不掛,Eason Chan,0.516,0.545,1,-7.837,0,0.0296,0.722,0.0,0.159,0.534,143.99
沙龍,Eason Chan,0.534,0.58,4,-5.311,1,0.0265,0.658,0.0,0.136,0.347,142.081
黃金時代,Eason Chan,0.555,0.494,4,-6.862,1,0.0285,0.246,0.0,0.291,0.28,144.044
無人之境,Eason Chan,0.535,0.564,2,-7.224,1,0.0394,0.361,0.0,0.119,0.278,123.892
陰天快樂,Eason Chan,0.549,0.64,6,-7.483,1,0.0304,0.323,0.0,0.0837,0.423,130.034
你給我聽好,Eason Chan,0.429,0.356,7,-11.524,1,0.0362,0.891,0.0,0.115,0.431,96.798
K歌之王,Eason Chan,0.396,0.353,2,-8.91,1,0.0298,0.731,1.1e-06,0.214,0.288,76.276
"陪你度過漫長歲月 - ""陪安東尼度過漫長歲月""電影主題曲",Eason Chan,0.502,0.54,1,-8.542,1,0.0412,0.54,0.0,0.111,0.578,149.938
於心有愧,Eason Chan,0.523,0.534,3,-6.339,1,0.0485,0.731,0.0,0.12,0.405,135.937
下週同樣時間 (再見) - Live at EasON AIR,Eason Chan,0.632,0.666,8,-9.16,1,0.0996,0.322,0.000523,0.114,0.494,113.972
無底洞 - Live at EasON AIR,Eason Chan,0.673,0.497,9,-9.759,1,0.039,0.278,1.46e-06,0.255,0.378,120.031
十面埋伏,Eason Chan,0.542,0.465,0,-6.334,1,0.0298,0.198,0.0,0.112,0.428,138.017
大開眼戒,Eason Chan,0.483,0.462,4,-7.247,1,0.0273,0.264,0.0,0.117,0.263,115.326
十面埋伏,Eason Chan,0.559,0.474,0,-6.359,1,0.0287,0.231,0.0,0.105,0.399,138.031
我的快樂時代,Eason Chan,0.582,0.442,2,-7.318,1,0.0266,0.625,1.27e-06,0.205,0.23,90.025
孤勇者 - Live 版 /《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Eason Chan,0.456,0.488,8,-10.64,0,0.213,0.258,0.0,0.259,0.354,129.887
Shall We Talk,Eason Chan,0.317,0.483,0,-7.994,1,0.0314,0.658,0.0,0.103,0.505,159.223
漸漸,Eason Chan;eason and the duo band,0.646,0.401,3,-8.362,1,0.027,0.617,0.0,0.186,0.29,109.978
綿綿,Eason Chan,0.47,0.276,7,-9.669,1,0.0338,0.877,0.0,0.111,0.292,151.959
夕陽無限好,Eason Chan,0.589,0.584,10,-6.224,1,0.0263,0.406,0.0,0.327,0.317,82.152
七百年後,Eason Chan,0.484,0.625,1,-5.241,1,0.0334,0.672,0.0,0.0796,0.308,140.051
失憶蝴蝶,Eason Chan,0.288,0.388,11,-9.664,0,0.0364,0.849,1.71e-06,0.0889,0.277,133.71
你的背包,Eason Chan,0.571,0.554,4,-7.539,1,0.0297,0.337,0.000118,0.0878,0.334,125.989
歲月如歌,Eason Chan,0.578,0.441,3,-6.738,1,0.0281,0.815,7.35e-06,0.106,0.456,139.921
今日,Eason Chan,0.555,0.498,7,-7.94,0,0.0285,0.16,0.0,0.192,0.187,136.962
冷雨 - Live at EasON AIR,Eason Chan,0.728,0.621,10,-8.254,1,0.213,0.254,0.000239,0.0404,0.871,165.995
致明日的舞,Eason Chan,0.549,0.618,0,-7.961,1,0.0309,0.842,0.0,0.113,0.474,111.996
粵語殘片,Eason Chan,0.529,0.667,2,-6.194,1,0.0328,0.382,0.0,0.1,0.331,143.925
約定,Eason Chan,0.377,0.272,7,-14.396,1,0.0442,0.768,7.57e-06,0.471,0.232,78.867
你有自己一套 - Live at EasON AIR,Eason Chan,0.658,0.541,5,-10.202,1,0.04,0.613,0.000629,0.263,0.182,101.984
孤獨患者(國),Eason Chan,0.348,0.497,8,-6.496,1,0.0328,0.783,0.0,0.0643,0.207,136.309
與我常在,Eason Chan,0.477,0.534,4,-7.493,1,0.029,0.65,0.0,0.176,0.186,162.182
白玫瑰,Eason Chan,0.492,0.529,9,-7.545,0,0.0334,0.585,0.00114,0.13,0.35,127.855
囍帖街,Eason Chan,0.356,0.365,4,-10.948,1,0.0406,0.708,8.26e-06,0.718,0.167,134.458
時光倒流二十年,Eason Chan,0.434,0.27,8,-10.16,1,0.0303,0.673,0.0,0.103,0.319,139.951
兄妹,Eason Chan,0.557,0.432,3,-7.072,1,0.027,0.81,0.0,0.105,0.418,140.006
